pick_number,round,drafter,sleeper_team_name,original_name,player_position,player_team
143,12,Cody,The Bijantine Empire,Ja'Kobi Lane,WR,BAL
144,12,Ethan,Qbs doin the Cam Cam,Mark Andrews,TE,BAL
145,13,Ethan,Qbs doin the Cam Cam,Jakobi Meyers,WR,JAX
146,13,Cody,The Bijantine Empire,Harrison Mevis,K,LAR
147,13,Riley,rileybotz,New England Patriots,DEF,NE
148,13,Ryan,RBotz,Harrison Butker,K,KC
149,13,Zach,Mr. Maker Baefield,Cam Little,K,JAX
150,13,Garrett,YouUnderestimateMyBowers,Ka'imi Fairbairn,K,HOU
151,13,Austin,Love Thy Nabers,Jason Myers,K,SEA
152,13,Mackenzie,KamaraIsAGuyOnTheChiefs,Deebo Samuel,WR,SF
153,13,TJ,Ladd McBonkers,Baltimore Ravens,DEF,BAL
154,13,Hannah,Lylas Lucky Lineup,Hunter Henry,TE,NE
155,13,Mason,Always be Tuten,Adonai Mitchell,WR,NYJ
156,13,Mike,Harvest is Jeanty,Zach Charbonnet,RB,SEA
157,14,Mike,Harvest is Jeanty,Los Angeles Chargers,DEF,LAC
158,14,Mason,Always be Tuten,Jared Goff,QB,DET
159,14,Hannah,Lylas Lucky Lineup,Denzel Boston,WR,CLE
160,14,TJ,Ladd McBonkers,Jake Bates,K,DET
161,14,Mackenzie,KamaraIsAGuyOnTheChiefs,Kyler Murray,QB,MIN
162,14,Austin,Love Thy Nabers,Jacksonville Jaguars,DEF,JAX
163,14,Garrett,YouUnderestimateMyBowers,Fernando Mendoza,QB,LV
164,14,Zach,Mr. Maker Baefield,Ted Hurst,WR,TB
165,14,Ryan,RBotz,Juwan Johnson,TE,NO
166,14,Riley,rileybotz,Eddy Pineiro,K,SF
167,14,Cody,The Bijantine Empire,Oronde Gadsden,TE,LAC
168,14,Ethan,Qbs doin the Cam Cam,Evan McPherson,K,CIN
